Chip ID     : 96
Version     : 0
Time, Temperature (C), Pressure (hPa), Humidity (%):
1557190068.25 , 23.56 , 1016.3878556 , 30.9878294157
1557190070.38 , 23.55 , 1016.34398403 , 30.9001341469
1557190072.49 , 23.55 , 1016.34398403 , 31.0344333736
1557190074.59 , 23.55 , 1016.31685536 , 31.0912506957
1557190076.7 , 23.55 , 1016.38986981 , 30.9415162414
1557190078.81 , 23.55 , 1016.35754837 , 30.9517883173
1557190080.91 , 23.54 , 1016.30530658 , 31.0139458791
1557190082.99 , 23.56 , 1016.41917061 , 31.0032966989
1557190085.09 , 23.58 , 1016.41297012 , 30.9773235551
1557190087.19 , 23.57 , 1016.35553304 , 31.085914333
1557190089.33 , 23.58 , 1016.41297012 , 31.0393106057
1557190091.47 , 23.57 , 1016.36808981 , 31.10649041
1557190093.57 , 23.57 , 1016.38165465 , 30.9618558721
1557190095.68 , 23.58 , 1016.36289608 , 31.1064335496
1557190097.79 , 23.58 , 1016.37126721 , 30.9978988711
1557190099.89 , 23.59 , 1016.37025873 , 30.9978116916
1557190102.0 , 23.59 , 1016.42451965 , 31.0907944726
1557190104.11 , 23.6 , 1016.37862982 , 31.1062344649
1557190106.25 , 23.58 , 1016.33158075 , 31.023813948
1557190108.32 , 23.59 , 1016.38382395 , 30.9668168716
1557190110.43 , 23.58 , 1016.39421165 , 31.0805775246
1557190112.54 , 23.59 , 1016.36188767 , 31.0650235304
1557190114.64 , 23.57 , 1016.32840371 , 31.111741001
1557190116.72 , 23.59 , 1016.35250804 , 31.0753261372
1557190118.82 , 23.59 , 1016.33374847 , 31.0959316045
1557190120.93 , 23.61 , 1016.43606876 , 31.0957890479
1557190123.06 , 23.59 , 1016.34731373 , 31.0856002653
1557190125.17 , 23.6 , 1016.41413183 , 30.987363608
1557190127.27 , 23.6 , 1016.36924999 , 31.0235537362
1557190129.38 , 23.6 , 1016.38700093 , 31.1423375151
1557190131.49 , 23.61 , 1016.34529525 , 31.2352353415
1557190133.6 , 23.61 , 1016.39537207 , 31.157778199
1557190135.7 , 23.63 , 1016.41529092 , 31.2040460688
1557190137.84 , 23.62 , 1016.39854866 , 31.3281338124
1557190139.95 , 23.62 , 1016.35265628 , 31.441721526
1557190142.05 , 23.63 , 1016.3923444 , 31.4984624683
1557190144.16 , 23.63 , 1016.40591045 , 31.5346205554
1557190146.27 , 23.64 , 1016.3764363 , 31.555128614
1557190148.37 , 23.64 , 1016.34511836 , 31.5603200651
1557190150.48 , 23.64 , 1016.38581726 , 31.3588588708
1557190152.59 , 23.65 , 1016.36705523 , 31.3019795993
1557190154.7 , 23.65 , 1016.38062165 , 31.1056672125
1557190156.82 , 23.65 , 1016.40255889 , 31.0849448663
1557190158.93 , 23.65 , 1016.40255889 , 31.1727717477
1557190161.06 , 23.66 , 1016.3879818 , 31.1365230298
1557190163.19 , 23.65 , 1016.36604458 , 31.1365796855
1557190165.3 , 23.65 , 1016.40255889 , 31.1572730495
1557190167.41 , 23.66 , 1016.35666322 , 31.033223115
1557190169.51 , 23.67 , 1016.40472318 , 31.1157437008
1557190171.65 , 23.66 , 1016.39216713 , 31.2139897249
1557190173.76 , 23.67 , 1016.35983728 , 31.2036012526
1557190175.87 , 23.66 , 1016.44643415 , 31.0796639006
1557190177.97 , 23.67 , 1016.42247551 , 31.1105486958
1557190180.08 , 23.67 , 1016.32750683 , 31.0485495333
1557190182.19 , 23.68 , 1016.37239286 , 31.1156867812
1557190184.29 , 23.68 , 1016.37239286 , 31.0536873582
1557190186.4 , 23.68 , 1016.40371221 , 30.9348225059
1557190188.54 , 23.67 , 1016.39534157 , 31.053716173
1557190190.65 , 23.68 , 1016.41309391 , 31.0381873275
1557190192.75 , 23.66 , 1016.43806304 , 31.0073905681
1557190194.86 , 23.66 , 1016.39635248 , 31.0848017471
1557190196.97 , 23.66 , 1016.37860039 , 31.0538314087
1557190199.07 , 23.66 , 1016.43806304 , 30.9143917899
1557190201.18 , 23.67 , 1016.44123841 , 30.9607741539
1557190203.32 , 23.67 , 1016.38697097 , 30.8832725282
1557190205.43 , 23.67 , 1016.43185701 , 30.9969118461
1557190207.53 , 23.68 , 1016.38595987 , 31.0588540195
1557190209.64 , 23.67 , 1016.40053782 , 30.9969409805
1557190211.75 , 23.66 , 1016.38278568 , 30.9039694623
1557190213.82 , 23.69 , 1016.38913373 , 30.9088990988
1557190215.93 , 23.68 , 1016.39014513 , 30.9038211246
1557190218.04 , 23.7 , 1016.45913341 , 30.9706974131
1557190220.17 , 23.69 , 1016.37455467 , 30.9759816402
1557190222.28 , 23.69 , 1016.36098728 , 30.888141716
1557190224.39 , 23.7 , 1016.39649247 , 30.9345864596
1557190226.49 , 23.7 , 1016.40067768 , 31.0172301709
1557190228.6 , 23.7 , 1016.43199815 , 31.001699957
1557190230.74 , 23.72 , 1016.44354232 , 30.9343502637
1557190232.87 , 23.71 , 1016.38609791 , 30.8724610917
1557190234.98 , 23.72 , 1016.38508544 , 30.9653835515
1557190237.11 , 23.71 , 1016.38609791 , 30.9861402655
1557190239.21 , 23.71 , 1016.37671527 , 30.9344388547
1557190241.32 , 23.72 , 1016.3757026 , 30.9291829145
1557190243.43 , 23.71 , 1016.38609791 , 30.8569590945
1557190245.53 , 23.72 , 1016.41222121 , 30.9240451491
1557190247.64 , 23.71 , 1016.42160385 , 30.9447438839
1557190249.75 , 23.73 , 1016.44253019 , 30.8412465833
1557190251.88 , 23.73 , 1016.40601098 , 30.9238971676
1557190253.99 , 23.72 , 1016.35693662 , 30.8412766538
1557190256.1 , 23.73 , 1016.37468966 , 31.0169395971
1557190258.21 , 23.73 , 1016.42794952 , 31.5800525397
1557190260.31 , 23.74 , 1016.35490968 , 31.5851674148
1557190262.42 , 23.74 , 1016.39979982 , 31.4198054104
1557190264.53 , 23.75 , 1016.3987864 , 31.6728971461
1557190266.63 , 23.76 , 1016.41134146 , 31.626320704
1557190268.77 , 23.76 , 1016.41134146 , 31.6469876232
1557190270.88 , 23.75 , 1016.39358773 , 31.3369980361
1557190272.99 , 23.76 , 1016.37063521 , 31.1819518398
1557190275.09 , 23.75 , 1016.39358773 , 31.1044683451
1557190277.2 , 23.74 , 1016.35072481 , 31.006488432
1557190279.28 , 23.74 , 1016.33195773 , 30.9909276121
1557190281.35 , 23.75 , 1016.38001904 , 30.9752783775
1557190283.43 , 23.76 , 1016.3654361 , 30.9596869869
